"version","value","year","variable","scenario","units"
"3.5.5",2.15624925213093,NA,"tcre",NA,NA
"3.5.5",2.03495782351062,NA,"tcr",NA,NA
"3.5.5",377.818338639775,"1971-2018","OHC","historical","ZJ"
"3.5.5",0.555148830994688,"2019","RF_CH4","historical","W/m2"
"3.5.5",3.40758010768892,"2019","wmghg RF","historical","W/m2"
"3.5.5",-0.846386773930248,"2019","non_ghg_ERF","historical","W/m2"
"3.5.5",-1.30540169360971,"2005-15","total aerosol RF","historical","W/m2"
"3.5.5",0.844892647254267,"1995-2014","hist. warming","historical","degC"
"3.5.5",0.782921468662514,"2021-2040","global_tas","ssp119","degC rel. 1995-2014"
"3.5.5",0.796518624862329,"2021-2040","global_tas","ssp126","degC rel. 1995-2014"
"3.5.5",0.795868281284861,"2021-2040","global_tas","ssp245","degC rel. 1995-2014"
"3.5.5",0.798952573953965,"2021-2040","global_tas","ssp370","degC rel. 1995-2014"
"3.5.5",0.773358078477123,"2021-2040","global_tas","ssp434","degC rel. 1995-2014"
"3.5.5",0.80678757783274,"2021-2040","global_tas","ssp460","degC rel. 1995-2014"
"3.5.5",0.951765560968391,"2021-2040","global_tas","ssp534-over","degC rel. 1995-2014"
"3.5.5",0.951758796378386,"2021-2040","global_tas","ssp585","degC rel. 1995-2014"
"3.5.5",0.899623037161233,"2041-2060","global_tas","ssp119","degC rel. 1995-2014"
"3.5.5",1.12380884140064,"2041-2060","global_tas","ssp126","degC rel. 1995-2014"
"3.5.5",1.3530286107798,"2041-2060","global_tas","ssp245","degC rel. 1995-2014"
"3.5.5",1.49379092120763,"2041-2060","global_tas","ssp370","degC rel. 1995-2014"
"3.5.5",1.18826331849139,"2041-2060","global_tas","ssp434","degC rel. 1995-2014"
"3.5.5",1.43728468424845,"2041-2060","global_tas","ssp460","degC rel. 1995-2014"
"3.5.5",1.75252590483491,"2041-2060","global_tas","ssp534-over","degC rel. 1995-2014"
"3.5.5",1.88898018986723,"2041-2060","global_tas","ssp585","degC rel. 1995-2014"
"3.5.5",0.604082839530219,"2081-2100","global_tas","ssp119","degC rel. 1995-2014"
"3.5.5",1.04388179989219,"2081-2100","global_tas","ssp126","degC rel. 1995-2014"
"3.5.5",2.0639171371724,"2081-2100","global_tas","ssp245","degC rel. 1995-2014"
"3.5.5",3.0802495055409,"2081-2100","global_tas","ssp370","degC rel. 1995-2014"
"3.5.5",1.48002669934417,"2081-2100","global_tas","ssp434","degC rel. 1995-2014"
"3.5.5",2.47850385449471,"2081-2100","global_tas","ssp460","degC rel. 1995-2014"
"3.5.5",1.47763871141341,"2081-2100","global_tas","ssp534-over","degC rel. 1995-2014"
"3.5.5",4.15950143138123,"2081-2100","global_tas","ssp585","degC rel. 1995-2014"
