"year","variable","units","scenario","source","version","value"
2021,"CO_emissions","Tg CO","GCAM_SSP5","GCAM","new",667.826072449386
2025,"CO_emissions","Tg CO","GCAM_SSP5","GCAM","new",666.39223067503
2030,"CO_emissions","Tg CO","GCAM_SSP5","GCAM","new",609.387596542089
2035,"CO_emissions","Tg CO","GCAM_SSP5","GCAM","new",567.162055429311
2040,"CO_emissions","Tg CO","GCAM_SSP5","GCAM","new",528.845201051984
2045,"CO_emissions","Tg CO","GCAM_SSP5","GCAM","new",493.577532318161
2050,"CO_emissions","Tg CO","GCAM_SSP5","GCAM","new",463.86332339118
2055,"CO_emissions","Tg CO","GCAM_SSP5","GCAM","new",448.248905686713
2060,"CO_emissions","Tg CO","GCAM_SSP5","GCAM","new",431.322220876188
2065,"CO_emissions","Tg CO","GCAM_SSP5","GCAM","new",414.335872428454
2070,"CO_emissions","Tg CO","GCAM_SSP5","GCAM","new",396.964732637725
2075,"CO_emissions","Tg CO","GCAM_SSP5","GCAM","new",382.446019011818
2080,"CO_emissions","Tg CO","GCAM_SSP5","GCAM","new",368.444649756125
2085,"CO_emissions","Tg CO","GCAM_SSP5","GCAM","new",355.270804648051
2090,"CO_emissions","Tg CO","GCAM_SSP5","GCAM","new",342.234875467947
2095,"CO_emissions","Tg CO","GCAM_SSP5","GCAM","new",331.213312019829
2100,"CO_emissions","Tg CO","GCAM_SSP5","GCAM","new",320.011604827849
1990,NA,NA,"GCAM_SSP5","GCAM","new",NA
2005,NA,NA,"GCAM_SSP5","GCAM","new",NA
2010,NA,NA,"GCAM_SSP5","GCAM","new",NA
2015,NA,NA,"GCAM_SSP5","GCAM","new",NA
2021,NA,NA,"GCAM_SSP5","GCAM","new",NA
2025,NA,NA,"GCAM_SSP5","GCAM","new",NA
2030,NA,NA,"GCAM_SSP5","GCAM","new",NA
2035,NA,NA,"GCAM_SSP5","GCAM","new",NA
2040,NA,NA,"GCAM_SSP5","GCAM","new",NA
2045,NA,NA,"GCAM_SSP5","GCAM","new",NA
2050,NA,NA,"GCAM_SSP5","GCAM","new",NA
2055,NA,NA,"GCAM_SSP5","GCAM","new",NA
2060,NA,NA,"GCAM_SSP5","GCAM","new",NA
2065,NA,NA,"GCAM_SSP5","GCAM","new",NA
2070,NA,NA,"GCAM_SSP5","GCAM","new",NA
2075,NA,NA,"GCAM_SSP5","GCAM","new",NA
2080,NA,NA,"GCAM_SSP5","GCAM","new",NA
2085,NA,NA,"GCAM_SSP5","GCAM","new",NA
2090,NA,NA,"GCAM_SSP5","GCAM","new",NA
2095,NA,NA,"GCAM_SSP5","GCAM","new",NA
2100,NA,NA,"GCAM_SSP5","GCAM","new",NA
1990,"N2O_emissions","Tg N","GCAM_SSP5","GCAM","new",5.37350448854038
2005,"N2O_emissions","Tg N","GCAM_SSP5","GCAM","new",5.9464124400595
2010,"N2O_emissions","Tg N","GCAM_SSP5","GCAM","new",6.26240473066264
2015,"N2O_emissions","Tg N","GCAM_SSP5","GCAM","new",6.60579978267267
2021,"N2O_emissions","Tg N","GCAM_SSP5","GCAM","new",6.91180050428196
2025,"N2O_emissions","Tg N","GCAM_SSP5","GCAM","new",7.43934929714176
2030,"N2O_emissions","Tg N","GCAM_SSP5","GCAM","new",7.84240694085731
2035,"N2O_emissions","Tg N","GCAM_SSP5","GCAM","new",8.30582688506984
2040,"N2O_emissions","Tg N","GCAM_SSP5","GCAM","new",8.81804913576424
2045,"N2O_emissions","Tg N","GCAM_SSP5","GCAM","new",9.34757992316672
2050,"N2O_emissions","Tg N","GCAM_SSP5","GCAM","new",9.9216787364376
2055,"N2O_emissions","Tg N","GCAM_SSP5","GCAM","new",10.4432250271459
2060,"N2O_emissions","Tg N","GCAM_SSP5","GCAM","new",10.9482962496938
2065,"N2O_emissions","Tg N","GCAM_SSP5","GCAM","new",11.395434714269
2070,"N2O_emissions","Tg N","GCAM_SSP5","GCAM","new",11.7613612967484
2075,"N2O_emissions","Tg N","GCAM_SSP5","GCAM","new",12.0423115157119
2080,"N2O_emissions","Tg N","GCAM_SSP5","GCAM","new",12.2479093082026
2085,"N2O_emissions","Tg N","GCAM_SSP5","GCAM","new",12.3677350846756
2090,"N2O_emissions","Tg N","GCAM_SSP5","GCAM","new",12.4297947372019
2095,"N2O_emissions","Tg N","GCAM_SSP5","GCAM","new",12.4506958405182
2100,"N2O_emissions","Tg N","GCAM_SSP5","GCAM","new",12.3803735403208
1990,"NH3_emissions","Tg","GCAM_SSP5","GCAM","new",49.4266975209643
2005,"NH3_emissions","Tg","GCAM_SSP5","GCAM","new",54.9184724313139
2010,"NH3_emissions","Tg","GCAM_SSP5","GCAM","new",58.7894841667832
2015,"NH3_emissions","Tg","GCAM_SSP5","GCAM","new",62.0021472394888
2021,"NH3_emissions","Tg","GCAM_SSP5","GCAM","new",66.007265857862
2025,"NH3_emissions","Tg","GCAM_SSP5","GCAM","new",71.1067902069263
2030,"NH3_emissions","Tg","GCAM_SSP5","GCAM","new",75.1379673792255
2035,"NH3_emissions","Tg","GCAM_SSP5","GCAM","new",80.1601956160253
2040,"NH3_emissions","Tg","GCAM_SSP5","GCAM","new",85.6097266155934
2045,"NH3_emissions","Tg","GCAM_SSP5","GCAM","new",91.2201730554878
2050,"NH3_emissions","Tg","GCAM_SSP5","GCAM","new",96.1425647363271
2055,"NH3_emissions","Tg","GCAM_SSP5","GCAM","new",100.095734263247
2060,"NH3_emissions","Tg","GCAM_SSP5","GCAM","new",103.85621886687
2065,"NH3_emissions","Tg","GCAM_SSP5","GCAM","new",107.024883282133
2070,"NH3_emissions","Tg","GCAM_SSP5","GCAM","new",109.457417722649
2075,"NH3_emissions","Tg","GCAM_SSP5","GCAM","new",111.03808750644
2080,"NH3_emissions","Tg","GCAM_SSP5","GCAM","new",111.739307097359
2085,"NH3_emissions","Tg","GCAM_SSP5","GCAM","new",111.701008323889
2090,"NH3_emissions","Tg","GCAM_SSP5","GCAM","new",111.115435858592
2095,"NH3_emissions","Tg","GCAM_SSP5","GCAM","new",110.202224649078
2100,"NH3_emissions","Tg","GCAM_SSP5","GCAM","new",108.586772843065
1990,"NMVOC_emissions","Tg NMVOC","GCAM_SSP5","GCAM","new",157.402670021365
2005,"NMVOC_emissions","Tg NMVOC","GCAM_SSP5","GCAM","new",162.071074186817
2010,"NMVOC_emissions","Tg NMVOC","GCAM_SSP5","GCAM","new",166.435884584333
2015,"NMVOC_emissions","Tg NMVOC","GCAM_SSP5","GCAM","new",174.592108658923
2021,"NMVOC_emissions","Tg NMVOC","GCAM_SSP5","GCAM","new",171.781634626689
2025,"NMVOC_emissions","Tg NMVOC","GCAM_SSP5","GCAM","new",169.936207323664
2030,"NMVOC_emissions","Tg NMVOC","GCAM_SSP5","GCAM","new",160.402491123308
2035,"NMVOC_emissions","Tg NMVOC","GCAM_SSP5","GCAM","new",153.81896882632
2040,"NMVOC_emissions","Tg NMVOC","GCAM_SSP5","GCAM","new",149.005229511519
2045,"NMVOC_emissions","Tg NMVOC","GCAM_SSP5","GCAM","new",143.437134777463
2050,"NMVOC_emissions","Tg NMVOC","GCAM_SSP5","GCAM","new",139.0299634059
2055,"NMVOC_emissions","Tg NMVOC","GCAM_SSP5","GCAM","new",137.09744259349
2060,"NMVOC_emissions","Tg NMVOC","GCAM_SSP5","GCAM","new",134.942224804486
2065,"NMVOC_emissions","Tg NMVOC","GCAM_SSP5","GCAM","new",132.723861478115
2070,"NMVOC_emissions","Tg NMVOC","GCAM_SSP5","GCAM","new",129.984251109983
2075,"NMVOC_emissions","Tg NMVOC","GCAM_SSP5","GCAM","new",128.77839267879
2080,"NMVOC_emissions","Tg NMVOC","GCAM_SSP5","GCAM","new",127.779052091547
2085,"NMVOC_emissions","Tg NMVOC","GCAM_SSP5","GCAM","new",126.549182113379
2090,"NMVOC_emissions","Tg NMVOC","GCAM_SSP5","GCAM","new",124.999997413197
2095,"NMVOC_emissions","Tg NMVOC","GCAM_SSP5","GCAM","new",123.536600420433
2100,"NMVOC_emissions","Tg NMVOC","GCAM_SSP5","GCAM","new",121.753669029299
1990,"NOX_emissions","Tg N","GCAM_SSP5","GCAM","new",36.4774433565388
2005,"NOX_emissions","Tg N","GCAM_SSP5","GCAM","new",41.4538102110033
2010,"NOX_emissions","Tg N","GCAM_SSP5","GCAM","new",40.6557539530832
2015,"NOX_emissions","Tg N","GCAM_SSP5","GCAM","new",39.4644054843049
2021,"NOX_emissions","Tg N","GCAM_SSP5","GCAM","new",35.6818572829017
2025,"NOX_emissions","Tg N","GCAM_SSP5","GCAM","new",35.7158701093351
2030,"NOX_emissions","Tg N","GCAM_SSP5","GCAM","new",31.2944983122657
2035,"NOX_emissions","Tg N","GCAM_SSP5","GCAM","new",27.54097941654
2040,"NOX_emissions","Tg N","GCAM_SSP5","GCAM","new",23.8059490332237
2045,"NOX_emissions","Tg N","GCAM_SSP5","GCAM","new",22.105432294364
2050,"NOX_emissions","Tg N","GCAM_SSP5","GCAM","new",20.4069004932669
2055,"NOX_emissions","Tg N","GCAM_SSP5","GCAM","new",19.8498793613336
2060,"NOX_emissions","Tg N","GCAM_SSP5","GCAM","new",19.4266403073996
2065,"NOX_emissions","Tg N","GCAM_SSP5","GCAM","new",19.0529769918747
2070,"NOX_emissions","Tg N","GCAM_SSP5","GCAM","new",18.6151736666508
2075,"NOX_emissions","Tg N","GCAM_SSP5","GCAM","new",18.1486121119451
2080,"NOX_emissions","Tg N","GCAM_SSP5","GCAM","new",17.5738560137457
2085,"NOX_emissions","Tg N","GCAM_SSP5","GCAM","new",16.8337230369517
2090,"NOX_emissions","Tg N","GCAM_SSP5","GCAM","new",16.0898758927901
2095,"NOX_emissions","Tg N","GCAM_SSP5","GCAM","new",15.3112787404821
2100,"NOX_emissions","Tg N","GCAM_SSP5","GCAM","new",14.452078514991
1990,"OC_emissions","Tg","GCAM_SSP5","GCAM","new",22.2724865780082
2005,"OC_emissions","Tg","GCAM_SSP5","GCAM","new",23.6016893203934
2010,"OC_emissions","Tg","GCAM_SSP5","GCAM","new",24.3908850007095
2015,"OC_emissions","Tg","GCAM_SSP5","GCAM","new",24.2776259447052
2021,"OC_emissions","Tg","GCAM_SSP5","GCAM","new",23.9748202562535
2025,"OC_emissions","Tg","GCAM_SSP5","GCAM","new",24.2358897293646
2030,"OC_emissions","Tg","GCAM_SSP5","GCAM","new",22.6907739101363
2035,"OC_emissions","Tg","GCAM_SSP5","GCAM","new",21.7025423680604
2040,"OC_emissions","Tg","GCAM_SSP5","GCAM","new",21.1918702335107
2045,"OC_emissions","Tg","GCAM_SSP5","GCAM","new",20.3463477090916
2050,"OC_emissions","Tg","GCAM_SSP5","GCAM","new",19.204982608578
2055,"OC_emissions","Tg","GCAM_SSP5","GCAM","new",18.4194815812156
2060,"OC_emissions","Tg","GCAM_SSP5","GCAM","new",17.5055123922935
2065,"OC_emissions","Tg","GCAM_SSP5","GCAM","new",16.61523164713
2070,"OC_emissions","Tg","GCAM_SSP5","GCAM","new",15.7136029395748
2075,"OC_emissions","Tg","GCAM_SSP5","GCAM","new",14.8407015847742
2080,"OC_emissions","Tg","GCAM_SSP5","GCAM","new",13.9926557926862
2085,"OC_emissions","Tg","GCAM_SSP5","GCAM","new",13.2347053161223
2090,"OC_emissions","Tg","GCAM_SSP5","GCAM","new",12.5262740706406
2095,"OC_emissions","Tg","GCAM_SSP5","GCAM","new",11.9462658478387
2100,"OC_emissions","Tg","GCAM_SSP5","GCAM","new",11.3612023450984
1990,"SO2_emissions","Gg S","GCAM_SSP5","GCAM","new",66724.2005752731
2005,"SO2_emissions","Gg S","GCAM_SSP5","GCAM","new",61883.3155676425
2010,"SO2_emissions","Gg S","GCAM_SSP5","GCAM","new",52801.1196889706
2015,"SO2_emissions","Gg S","GCAM_SSP5","GCAM","new",44762.2210345626
2021,"SO2_emissions","Gg S","GCAM_SSP5","GCAM","new",34077.0545924128
2025,"SO2_emissions","Gg S","GCAM_SSP5","GCAM","new",32108.2705804464
2030,"SO2_emissions","Gg S","GCAM_SSP5","GCAM","new",27789.8178856728
2035,"SO2_emissions","Gg S","GCAM_SSP5","GCAM","new",24908.0829767492
2040,"SO2_emissions","Gg S","GCAM_SSP5","GCAM","new",22263.6953830603
2045,"SO2_emissions","Gg S","GCAM_SSP5","GCAM","new",19587.1801564097
2050,"SO2_emissions","Gg S","GCAM_SSP5","GCAM","new",16911.732111257
2055,"SO2_emissions","Gg S","GCAM_SSP5","GCAM","new",16060.435467868
2060,"SO2_emissions","Gg S","GCAM_SSP5","GCAM","new",15234.8446362178
2065,"SO2_emissions","Gg S","GCAM_SSP5","GCAM","new",14493.4469697012
2070,"SO2_emissions","Gg S","GCAM_SSP5","GCAM","new",13713.4554919033
2075,"SO2_emissions","Gg S","GCAM_SSP5","GCAM","new",12959.0907762964
2080,"SO2_emissions","Gg S","GCAM_SSP5","GCAM","new",12192.5863212134
2085,"SO2_emissions","Gg S","GCAM_SSP5","GCAM","new",11342.6654409424
2090,"SO2_emissions","Gg S","GCAM_SSP5","GCAM","new",10524.2757059604
2095,"SO2_emissions","Gg S","GCAM_SSP5","GCAM","new",9763.28127050079
2100,"SO2_emissions","Gg S","GCAM_SSP5","GCAM","new",8978.22110419206
2005,"C2F6_emissions","Gg","GCAM_SSP1","GCAM","new",1.3326894438
2010,"C2F6_emissions","Gg","GCAM_SSP1","GCAM","new",1.1421159114
2015,"C2F6_emissions","Gg","GCAM_SSP1","GCAM","new",1.4890217964
2021,"C2F6_emissions","Gg","GCAM_SSP1","GCAM","new",1.5013436056
2025,"C2F6_emissions","Gg","GCAM_SSP1","GCAM","new",1.581310245
2030,"C2F6_emissions","Gg","GCAM_SSP1","GCAM","new",1.6760850186
2035,"C2F6_emissions","Gg","GCAM_SSP1","GCAM","new",1.7583556382
2040,"C2F6_emissions","Gg","GCAM_SSP1","GCAM","new",1.7984594673
2045,"C2F6_emissions","Gg","GCAM_SSP1","GCAM","new",1.8312417721
2050,"C2F6_emissions","Gg","GCAM_SSP1","GCAM","new",1.85747865
2055,"C2F6_emissions","Gg","GCAM_SSP1","GCAM","new",1.8685635249
2060,"C2F6_emissions","Gg","GCAM_SSP1","GCAM","new",1.8724591076
2065,"C2F6_emissions","Gg","GCAM_SSP1","GCAM","new",1.8691804785
2070,"C2F6_emissions","Gg","GCAM_SSP1","GCAM","new",1.8533730833
2075,"C2F6_emissions","Gg","GCAM_SSP1","GCAM","new",1.8302100052
2080,"C2F6_emissions","Gg","GCAM_SSP1","GCAM","new",1.7990335496
2085,"C2F6_emissions","Gg","GCAM_SSP1","GCAM","new",1.759825651
2090,"C2F6_emissions","Gg","GCAM_SSP1","GCAM","new",1.7164912408
2095,"C2F6_emissions","Gg","GCAM_SSP1","GCAM","new",1.6716814858
2100,"C2F6_emissions","Gg","GCAM_SSP1","GCAM","new",1.6202102566
2005,"CF4_emissions","Gg","GCAM_SSP1","GCAM","new",4.5595095224
2010,"CF4_emissions","Gg","GCAM_SSP1","GCAM","new",3.4908554511
2015,"CF4_emissions","Gg","GCAM_SSP1","GCAM","new",4.5419844727
2021,"CF4_emissions","Gg","GCAM_SSP1","GCAM","new",4.66616681119
2025,"CF4_emissions","Gg","GCAM_SSP1","GCAM","new",4.9208981436
2030,"CF4_emissions","Gg","GCAM_SSP1","GCAM","new",5.1791836395
2035,"CF4_emissions","Gg","GCAM_SSP1","GCAM","new",5.3853125048
2040,"CF4_emissions","Gg","GCAM_SSP1","GCAM","new",5.476492199
2045,"CF4_emissions","Gg","GCAM_SSP1","GCAM","new",5.55323451586
2050,"CF4_emissions","Gg","GCAM_SSP1","GCAM","new",5.64727962553
2055,"CF4_emissions","Gg","GCAM_SSP1","GCAM","new",5.70845599577
2060,"CF4_emissions","Gg","GCAM_SSP1","GCAM","new",5.74133722414
2065,"CF4_emissions","Gg","GCAM_SSP1","GCAM","new",5.7485110638
2070,"CF4_emissions","Gg","GCAM_SSP1","GCAM","new",5.71122102881
2075,"CF4_emissions","Gg","GCAM_SSP1","GCAM","new",5.65008803135
2080,"CF4_emissions","Gg","GCAM_SSP1","GCAM","new",5.56044579437
2085,"CF4_emissions","Gg","GCAM_SSP1","GCAM","new",5.44205859226
2090,"CF4_emissions","Gg","GCAM_SSP1","GCAM","new",5.31077974582
2095,"CF4_emissions","Gg","GCAM_SSP1","GCAM","new",5.17752868026
2100,"CF4_emissions","Gg","GCAM_SSP1","GCAM","new",5.02706986661
2005,"HFC125_emissions","Gg","GCAM_SSP1","GCAM","new",13.4736975439
2010,"HFC125_emissions","Gg","GCAM_SSP1","GCAM","new",25.754668812
2015,"HFC125_emissions","Gg","GCAM_SSP1","GCAM","new",39.522956612
2021,"HFC125_emissions","Gg","GCAM_SSP1","GCAM","new",76.34528554
2025,"HFC125_emissions","Gg","GCAM_SSP1","GCAM","new",98.35114588
2030,"HFC125_emissions","Gg","GCAM_SSP1","GCAM","new",129.575806145
2035,"HFC125_emissions","Gg","GCAM_SSP1","GCAM","new",149.177928967
2040,"HFC125_emissions","Gg","GCAM_SSP1","GCAM","new",167.530739005
2045,"HFC125_emissions","Gg","GCAM_SSP1","GCAM","new",188.32120172
2050,"HFC125_emissions","Gg","GCAM_SSP1","GCAM","new",210.24010183
2055,"HFC125_emissions","Gg","GCAM_SSP1","GCAM","new",231.41431715
2060,"HFC125_emissions","Gg","GCAM_SSP1","GCAM","new",252.73695856
2065,"HFC125_emissions","Gg","GCAM_SSP1","GCAM","new",273.6595293
2070,"HFC125_emissions","Gg","GCAM_SSP1","GCAM","new",292.51371567
2075,"HFC125_emissions","Gg","GCAM_SSP1","GCAM","new",309.3624859
2080,"HFC125_emissions","Gg","GCAM_SSP1","GCAM","new",323.51305657
2085,"HFC125_emissions","Gg","GCAM_SSP1","GCAM","new",334.50775415
2090,"HFC125_emissions","Gg","GCAM_SSP1","GCAM","new",342.59886865
2095,"HFC125_emissions","Gg","GCAM_SSP1","GCAM","new",347.89618074
2100,"HFC125_emissions","Gg","GCAM_SSP1","GCAM","new",349.53999351
2005,"HFC134a_emissions","Gg","GCAM_SSP1","GCAM","new",130.6109941672
2010,"HFC134a_emissions","Gg","GCAM_SSP1","GCAM","new",181.60389160285
2015,"HFC134a_emissions","Gg","GCAM_SSP1","GCAM","new",244.0811181717
2021,"HFC134a_emissions","Gg","GCAM_SSP1","GCAM","new",312.4545100584
2025,"HFC134a_emissions","Gg","GCAM_SSP1","GCAM","new",339.23249778155
2030,"HFC134a_emissions","Gg","GCAM_SSP1","GCAM","new",385.756540279
2035,"HFC134a_emissions","Gg","GCAM_SSP1","GCAM","new",435.1776950625
2040,"HFC134a_emissions","Gg","GCAM_SSP1","GCAM","new",484.3448201855
2045,"HFC134a_emissions","Gg","GCAM_SSP1","GCAM","new",543.744352247
2050,"HFC134a_emissions","Gg","GCAM_SSP1","GCAM","new",611.589671966
2055,"HFC134a_emissions","Gg","GCAM_SSP1","GCAM","new",682.1874543285
2060,"HFC134a_emissions","Gg","GCAM_SSP1","GCAM","new",758.936379575
2065,"HFC134a_emissions","Gg","GCAM_SSP1","GCAM","new",840.540407119
2070,"HFC134a_emissions","Gg","GCAM_SSP1","GCAM","new",921.5696084765
2075,"HFC134a_emissions","Gg","GCAM_SSP1","GCAM","new",1000.894345113
2080,"HFC134a_emissions","Gg","GCAM_SSP1","GCAM","new",1074.6821223705
2085,"HFC134a_emissions","Gg","GCAM_SSP1","GCAM","new",1139.743908707
2090,"HFC134a_emissions","Gg","GCAM_SSP1","GCAM","new",1195.6536070185
2095,"HFC134a_emissions","Gg","GCAM_SSP1","GCAM","new",1241.6002654135
2100,"HFC134a_emissions","Gg","GCAM_SSP1","GCAM","new",1273.177053237
2005,"HFC143a_emissions","Gg","GCAM_SSP1","GCAM","new",16.657881676495
2010,"HFC143a_emissions","Gg","GCAM_SSP1","GCAM","new",28.150171402278
2015,"HFC143a_emissions","Gg","GCAM_SSP1","GCAM","new",43.238085254551
2021,"HFC143a_emissions","Gg","GCAM_SSP1","GCAM","new",83.173213309551
2025,"HFC143a_emissions","Gg","GCAM_SSP1","GCAM","new",106.912117179995
2030,"HFC143a_emissions","Gg","GCAM_SSP1","GCAM","new",140.723303756703
2035,"HFC143a_emissions","Gg","GCAM_SSP1","GCAM","new",162.069325495974
2040,"HFC143a_emissions","Gg","GCAM_SSP1","GCAM","new",182.087203689276
2045,"HFC143a_emissions","Gg","GCAM_SSP1","GCAM","new",204.803349299735
2050,"HFC143a_emissions","Gg","GCAM_SSP1","GCAM","new",228.809660966508
2055,"HFC143a_emissions","Gg","GCAM_SSP1","GCAM","new",252.070519257259
2060,"HFC143a_emissions","Gg","GCAM_SSP1","GCAM","new",275.57000688416
2065,"HFC143a_emissions","Gg","GCAM_SSP1","GCAM","new",298.713642829607
2070,"HFC143a_emissions","Gg","GCAM_SSP1","GCAM","new",319.677824113675
2075,"HFC143a_emissions","Gg","GCAM_SSP1","GCAM","new",338.513255755618
2080,"HFC143a_emissions","Gg","GCAM_SSP1","GCAM","new",354.441082049152
2085,"HFC143a_emissions","Gg","GCAM_SSP1","GCAM","new",366.937919537485
2090,"HFC143a_emissions","Gg","GCAM_SSP1","GCAM","new",376.2600435709
2095,"HFC143a_emissions","Gg","GCAM_SSP1","GCAM","new",382.510018819425
2100,"HFC143a_emissions","Gg","GCAM_SSP1","GCAM","new",384.723581989672
2005,"HFC245fa_emissions","Gg","GCAM_SSP1","GCAM","new",3.426583998229
2010,"HFC245fa_emissions","Gg","GCAM_SSP1","GCAM","new",6.643179485242
2015,"HFC245fa_emissions","Gg","GCAM_SSP1","GCAM","new",8.489817647341
2021,"HFC245fa_emissions","Gg","GCAM_SSP1","GCAM","new",8.496387675183
2025,"HFC245fa_emissions","Gg","GCAM_SSP1","GCAM","new",8.921991129141
2030,"HFC245fa_emissions","Gg","GCAM_SSP1","GCAM","new",10.332525830753
2035,"HFC245fa_emissions","Gg","GCAM_SSP1","GCAM","new",10.305053803454
2040,"HFC245fa_emissions","Gg","GCAM_SSP1","GCAM","new",10.473330318708
2045,"HFC245fa_emissions","Gg","GCAM_SSP1","GCAM","new",10.657715199043
2050,"HFC245fa_emissions","Gg","GCAM_SSP1","GCAM","new",10.967931537596
2055,"HFC245fa_emissions","Gg","GCAM_SSP1","GCAM","new",11.260806167129
2060,"HFC245fa_emissions","Gg","GCAM_SSP1","GCAM","new",11.52736615051
2065,"HFC245fa_emissions","Gg","GCAM_SSP1","GCAM","new",11.758049352115
2070,"HFC245fa_emissions","Gg","GCAM_SSP1","GCAM","new",11.932692912378
2075,"HFC245fa_emissions","Gg","GCAM_SSP1","GCAM","new",12.060537710979
2080,"HFC245fa_emissions","Gg","GCAM_SSP1","GCAM","new",12.137251403279
2085,"HFC245fa_emissions","Gg","GCAM_SSP1","GCAM","new",12.145841899316
2090,"HFC245fa_emissions","Gg","GCAM_SSP1","GCAM","new",12.093842154811
2095,"HFC245fa_emissions","Gg","GCAM_SSP1","GCAM","new",11.988285103443
2100,"HFC245fa_emissions","Gg","GCAM_SSP1","GCAM","new",11.807961573635
2005,"HFC227ea_emissions","Gg","GCAM_SSP1","GCAM","new",2.128184574
2010,"HFC227ea_emissions","Gg","GCAM_SSP1","GCAM","new",3.69184179
2015,"HFC227ea_emissions","Gg","GCAM_SSP1","GCAM","new",6.00504143
2021,"HFC227ea_emissions","Gg","GCAM_SSP1","GCAM","new",6.00504143
2025,"HFC227ea_emissions","Gg","GCAM_SSP1","GCAM","new",3.74020471
2030,"HFC227ea_emissions","Gg","GCAM_SSP1","GCAM","new",4.0596623
2035,"HFC227ea_emissions","Gg","GCAM_SSP1","GCAM","new",4.0981028
2040,"HFC227ea_emissions","Gg","GCAM_SSP1","GCAM","new",4.13065493
2045,"HFC227ea_emissions","Gg","GCAM_SSP1","GCAM","new",4.00283387
2050,"HFC227ea_emissions","Gg","GCAM_SSP1","GCAM","new",4.03006562
2055,"HFC227ea_emissions","Gg","GCAM_SSP1","GCAM","new",4.0509283
2060,"HFC227ea_emissions","Gg","GCAM_SSP1","GCAM","new",4.05506768
2065,"HFC227ea_emissions","Gg","GCAM_SSP1","GCAM","new",4.04322606
2070,"HFC227ea_emissions","Gg","GCAM_SSP1","GCAM","new",4.01874077
2075,"HFC227ea_emissions","Gg","GCAM_SSP1","GCAM","new",3.98381856
2080,"HFC227ea_emissions","Gg","GCAM_SSP1","GCAM","new",3.93803542
2085,"HFC227ea_emissions","Gg","GCAM_SSP1","GCAM","new",3.87745551
2090,"HFC227ea_emissions","Gg","GCAM_SSP1","GCAM","new",3.79970111
2095,"HFC227ea_emissions","Gg","GCAM_SSP1","GCAM","new",3.70627439
2100,"HFC227ea_emissions","Gg","GCAM_SSP1","GCAM","new",3.59991153
2015,"HFC23_emissions","Gg","GCAM_SSP1","GCAM","new",10.3569308623802
2021,"HFC23_emissions","Gg","GCAM_SSP1","GCAM","new",10.991813302661
2025,"HFC23_emissions","Gg","GCAM_SSP1","GCAM","new",11.85982054527
2030,"HFC23_emissions","Gg","GCAM_SSP1","GCAM","new",12.624180048093
2035,"HFC23_emissions","Gg","GCAM_SSP1","GCAM","new",13.22161338678
2040,"HFC23_emissions","Gg","GCAM_SSP1","GCAM","new",13.469532586961
2045,"HFC23_emissions","Gg","GCAM_SSP1","GCAM","new",13.663398189738
2050,"HFC23_emissions","Gg","GCAM_SSP1","GCAM","new",13.725729253577
2055,"HFC23_emissions","Gg","GCAM_SSP1","GCAM","new",13.662896893174
2060,"HFC23_emissions","Gg","GCAM_SSP1","GCAM","new",13.534062452625
2065,"HFC23_emissions","Gg","GCAM_SSP1","GCAM","new",13.356775119192
2070,"HFC23_emissions","Gg","GCAM_SSP1","GCAM","new",13.072308115893
2075,"HFC23_emissions","Gg","GCAM_SSP1","GCAM","new",12.74600477575
2080,"HFC23_emissions","Gg","GCAM_SSP1","GCAM","new",12.36352120355
2085,"HFC23_emissions","Gg","GCAM_SSP1","GCAM","new",11.92856916096
2090,"HFC23_emissions","Gg","GCAM_SSP1","GCAM","new",11.48807606205
2095,"HFC23_emissions","Gg","GCAM_SSP1","GCAM","new",11.0760864241
2100,"HFC23_emissions","Gg","GCAM_SSP1","GCAM","new",10.6479098026
2005,"HFC32_emissions","Gg","GCAM_SSP1","GCAM","new",1.2060792957
2010,"HFC32_emissions","Gg","GCAM_SSP1","GCAM","new",2.0280780141
2015,"HFC32_emissions","Gg","GCAM_SSP1","GCAM","new",3.1124133134
2021,"HFC32_emissions","Gg","GCAM_SSP1","GCAM","new",6.0196014741
2025,"HFC32_emissions","Gg","GCAM_SSP1","GCAM","new",7.7585198193
2030,"HFC32_emissions","Gg","GCAM_SSP1","GCAM","new",10.2263329122
2035,"HFC32_emissions","Gg","GCAM_SSP1","GCAM","new",11.7729555837
2040,"HFC32_emissions","Gg","GCAM_SSP1","GCAM","new",13.2206685352
2045,"HFC32_emissions","Gg","GCAM_SSP1","GCAM","new",14.8601570912
2050,"HFC32_emissions","Gg","GCAM_SSP1","GCAM","new",16.588033873
2055,"HFC32_emissions","Gg","GCAM_SSP1","GCAM","new",18.256437964
2060,"HFC32_emissions","Gg","GCAM_SSP1","GCAM","new",19.935725412
2065,"HFC32_emissions","Gg","GCAM_SSP1","GCAM","new",21.582584627
2070,"HFC32_emissions","Gg","GCAM_SSP1","GCAM","new",23.065503822
2075,"HFC32_emissions","Gg","GCAM_SSP1","GCAM","new",24.389629822
2080,"HFC32_emissions","Gg","GCAM_SSP1","GCAM","new",25.500585868
2085,"HFC32_emissions","Gg","GCAM_SSP1","GCAM","new",26.362538841
2090,"HFC32_emissions","Gg","GCAM_SSP1","GCAM","new",26.995546669
2095,"HFC32_emissions","Gg","GCAM_SSP1","GCAM","new",27.408498016
