"year","variable","units","scenario","source","version","value"
2005,"HFC143a_emissions","Gg","Reference","GCAM","new",16.657881676495
2010,"HFC143a_emissions","Gg","Reference","GCAM","new",28.150171402278
2015,"HFC143a_emissions","Gg","Reference","GCAM","new",43.238085254551
2021,"HFC143a_emissions","Gg","Reference","GCAM","new",83.173213309551
2025,"HFC143a_emissions","Gg","Reference","GCAM","new",107.624744026995
2030,"HFC143a_emissions","Gg","Reference","GCAM","new",141.554242472709
2035,"HFC143a_emissions","Gg","Reference","GCAM","new",160.585781502102
2040,"HFC143a_emissions","Gg","Reference","GCAM","new",177.878446245758
2045,"HFC143a_emissions","Gg","Reference","GCAM","new",196.557068524309
2050,"HFC143a_emissions","Gg","Reference","GCAM","new",216.638739143268
2055,"HFC143a_emissions","Gg","Reference","GCAM","new",236.637076658145
2060,"HFC143a_emissions","Gg","Reference","GCAM","new",258.094816400812
2065,"HFC143a_emissions","Gg","Reference","GCAM","new",280.383057358908
2070,"HFC143a_emissions","Gg","Reference","GCAM","new",302.58550926597
2075,"HFC143a_emissions","Gg","Reference","GCAM","new",324.545607049807
2080,"HFC143a_emissions","Gg","Reference","GCAM","new",345.679126046602
2085,"HFC143a_emissions","Gg","Reference","GCAM","new",365.500559240331
2090,"HFC143a_emissions","Gg","Reference","GCAM","new",384.374939015539
2095,"HFC143a_emissions","Gg","Reference","GCAM","new",401.939685490859
2100,"HFC143a_emissions","Gg","Reference","GCAM","new",417.212845771995
2005,"HFC245fa_emissions","Gg","Reference","GCAM","new",3.426583998229
2010,"HFC245fa_emissions","Gg","Reference","GCAM","new",6.643179485242
2015,"HFC245fa_emissions","Gg","Reference","GCAM","new",8.489817647341
2021,"HFC245fa_emissions","Gg","Reference","GCAM","new",8.496387675183
2025,"HFC245fa_emissions","Gg","Reference","GCAM","new",8.955254840734
2030,"HFC245fa_emissions","Gg","Reference","GCAM","new",10.420330213591
2035,"HFC245fa_emissions","Gg","Reference","GCAM","new",10.433845957429
2040,"HFC245fa_emissions","Gg","Reference","GCAM","new",10.68014595238
2045,"HFC245fa_emissions","Gg","Reference","GCAM","new",10.932744960055
2050,"HFC245fa_emissions","Gg","Reference","GCAM","new",11.332275648925
2055,"HFC245fa_emissions","Gg","Reference","GCAM","new",11.738555844749
2060,"HFC245fa_emissions","Gg","Reference","GCAM","new",12.156107606502
2065,"HFC245fa_emissions","Gg","Reference","GCAM","new",12.570290394553
2070,"HFC245fa_emissions","Gg","Reference","GCAM","new",12.967091875825
2075,"HFC245fa_emissions","Gg","Reference","GCAM","new",13.346455638932
2080,"HFC245fa_emissions","Gg","Reference","GCAM","new",13.697630155043
2085,"HFC245fa_emissions","Gg","Reference","GCAM","new",14.006951655274
2090,"HFC245fa_emissions","Gg","Reference","GCAM","new",14.281021779109
2095,"HFC245fa_emissions","Gg","Reference","GCAM","new",14.515225995509
2100,"HFC245fa_emissions","Gg","Reference","GCAM","new",14.696214940663
2005,"HFC227ea_emissions","Gg","Reference","GCAM","new",2.128184574
2010,"HFC227ea_emissions","Gg","Reference","GCAM","new",3.69184179
2015,"HFC227ea_emissions","Gg","Reference","GCAM","new",6.00504143
2021,"HFC227ea_emissions","Gg","Reference","GCAM","new",6.00504143
2025,"HFC227ea_emissions","Gg","Reference","GCAM","new",3.74020471
2030,"HFC227ea_emissions","Gg","Reference","GCAM","new",4.06308093
2035,"HFC227ea_emissions","Gg","Reference","GCAM","new",4.10927786
2040,"HFC227ea_emissions","Gg","Reference","GCAM","new",4.15321846
2045,"HFC227ea_emissions","Gg","Reference","GCAM","new",4.03621554
2050,"HFC227ea_emissions","Gg","Reference","GCAM","new",4.07506139
2055,"HFC227ea_emissions","Gg","Reference","GCAM","new",4.11089644
2060,"HFC227ea_emissions","Gg","Reference","GCAM","new",4.13548234
2065,"HFC227ea_emissions","Gg","Reference","GCAM","new",4.14853662
2070,"HFC227ea_emissions","Gg","Reference","GCAM","new",4.15286709
2075,"HFC227ea_emissions","Gg","Reference","GCAM","new",4.15007499
2080,"HFC227ea_emissions","Gg","Reference","GCAM","new",4.14027498
2085,"HFC227ea_emissions","Gg","Reference","GCAM","new",4.12318158
2090,"HFC227ea_emissions","Gg","Reference","GCAM","new",4.099156
2095,"HFC227ea_emissions","Gg","Reference","GCAM","new",4.06889557
2100,"HFC227ea_emissions","Gg","Reference","GCAM","new",4.03225898
2015,"HFC23_emissions","Gg","Reference","GCAM","new",10.3569308623802
2021,"HFC23_emissions","Gg","Reference","GCAM","new",10.991813302661
2025,"HFC23_emissions","Gg","Reference","GCAM","new",11.964506243
2030,"HFC23_emissions","Gg","Reference","GCAM","new",12.922077143939
